adxl345,3軸加速度,I2C接続の3軸加速度センサーADXL345で取得した値を表示します。Grove-Accelerometerもしくはジェネリック品
amg8833,サーモグラフィ,I2C接続のサーモグラフィーデバイス AMG8833を使用します。
as3935,雷センサ,I2C接続の雷接近を検出するセンサ、AS3935を使用します。雷検出トリガーのためにGPIOも使用します。
as5600,回転角センサ,I2C接続の回転角を非接触で検出できるセンサ、AS5600を使用します。
as7341,分光カラーセンサー,I2CのAS7341で可視光8チャンネル+Clear+NIRの光の強さを測定する
apds9960,近接・環境光・ジェスチャー,近接・環境光・ジェスチャーセンサーAPDS9960で取得した値を表示します。
apds9930,近接・環境光センサー,I2C接続の近接・環境光センサーAPDS9930で照度と近接値を表示します。
bh1750,照度センサ,I2C接続の照度センサーBH1750の値を表示します。
bme280,温度・湿度・気圧,I2C接続の温度・湿度・気圧　複合センサーBME280で取得した値を表示します。
bmp180,温度・気圧,I2C接続の温度・気圧　複合センサーBMP180で取得した値を表示します。
bmp280,温度・気圧,I2C接続の温度・気圧　複合センサーで取得した値を表示します。（BMP280は、BMP180とは別のデバイスです。注意）
bme680,温度・湿度・気圧・ガス,I2C接続の温度・湿度・気圧・ガス　複合センサーBME680で取得した値を表示します。スレーブアドレスが 0x76 のものと 0x77 のものがあるので注意
ccs811,CO2・TVOCセンサ,I2C接続のCO2・TVOCセンサーCCS811で取得した値を表示します。
ens160,空気質センサ,空気質センサ ENS160を使用します。
gp2y0e03,距離センサ,I2C接続の赤外線測距センサー（センサーから障害物までの距離を測るセンサー）GP2Y0E03の値を表示します。
grove-water-level-sensor,水位センサ,I2C接続の水位センサーです
ht16k33,マトリクスLEDドライバ,I2C接続のマトリクスLEDドライバHT16K33でマトリクスLEDを表示します。
htu21d,温度・湿度センサ,I2C接続の温度・湿度センサーHTU21Dの値を表示します。
i2c1602lcd,液晶ディスプレイ,I2C接続の16文字×2行LCDに文字(英数字・カタカナ)を表示します。
ina219,電流・電力,I2C接続のDC電流センサーINA219で取得した値を表示します。電圧と電力も取得できます。
max30102,心拍,I2C接続の心拍センサーMAX30102で取得した心拍数を表示し続けます。
mcp9808,温度センサ,I2C接続の高精度温度センサーMCP9808の値を表示します。分解能を4段階（0.0625℃〜0.5℃）で設定できます。
mlx90614,赤外線温度センサ,I2C接続の赤外線温度センサーMLX90614で取得した値を表示します。周囲温度も取得できます。
mma7660,3軸加速度,I2C接続の3軸加速度センサーMMA7660で取得した値と加速度を表示します。Grove-3-Axis-Digital-Accelerometer(±1.5g)もしくはジェネリック品
mpr121,タッチセンサ,I2C接続のタッチセンサー（静電容量式タッチキー）MPR121によるタッチ検出をおこないます。Grove-Touchもしくはジェネリック品
mpu6050,３軸ジャイロ＋３軸加速度,I2C接続の３軸ジャイロ(角速度)＋３軸加速度　複合センサーMPU6050で取得した値を表示します。
mpu9250,３軸ジャイロ＋３軸加速度＋３軸磁気,I2C接続の３軸ジャイロ＋３軸加速度＋３軸磁気　複合センサーMPU9250で取得した値を表示します。このセンサーは、MPU6500(３軸ジャイロ＋３軸加速度)とAK8963(３軸磁気)という二つのI2Cセンサが１パッケージに封入された複合センサです。適切に初期化されるとこれら２個のI2Cスレーブデバイスが出現します
neopixel-i2c,NEOPIXEL LED,<a href="https://learn.adafruit.com/adafruit-neopixel-uberguide/the-magic-of-neopixels">Neopixel LED</a> (シンプルな配線の多数のLEDの発光を個々に制御できるフルカラーLED)をATTINY85をI2Cコントローラにして使用します。ATTINY85には<a href="https://github.com/chirimen-oh/accessories/blob/master/others/neopixel_i2c_TH/tips.md">ここで紹介されているファームウェア</a>を焼いておく必要があります。簡単に組み立てられるようにしたオープンソースハードの<a href="https://github.com/chirimen-oh/accessories/blob/master/others/neopixel_i2c_TH/">専用コントローラボード</a>もあります。
paj7620,ジェスチャーセンサ,I2C接続のジェスチャーセンサーPAJ7620（センサーの前で手などを動かすと動かした方向などのモーションを検出するセンサー）の検出結果を表示します。Grove-Gestureもしくはジェネリック品
pca9685,サーボモータ,I2C接続のPWMドライバーPCA9685経由でサーボモーターを駆動します。（RaspberryからPWMドライバーをI2C接続し、 PWMドライバとサーボモータ、外部電源を接続します。詳細は回路図を参照ください）
pcf8591,電圧測定・電圧出力,I2C接続の8ビットAD、DAコンバータPCF8591を使います。
qrcodescanner,QRコードリーダ,I2C接続でQRコードを読み取ることができるデバイスです。（m5 QRコードスキャナーユニット：STM32F030）デバイスについているスイッチでI2C を選択して使用してください
s11059,カラーセンサ,I2C接続のRGBカラーセンサーで取得した値を表示します。
scd40,CO2センサ,I2C接続のCO2センサーSCD40の値を表示します。
seesaw,多機能I/F,I2C接続の多機能インターフェースボードseesawを使用します。adafruitのseesawはデジタル入出力、アナログ入力、PWM出力、NeopixelLEDドライブ等の機能を持つ多目的なインターフェースボードです。このサンプルではNeopixelLED以外の機能を動かしています。
#seesawNpix,NeopixelLED,I2C接続の多機能インターフェースボードseesawでI2C接続の多機能インターフェースボードseesawでNeopixelLEDモジュールを２個ドライブしています。
sht30,温度・湿度センサ,I2C接続の温度・湿度センサーSHT30の値を表示します。
sht40,温度・湿度センサ,I2C接続の温度・湿度センサーSHT40の値を表示します。
ssd1306,有機ELディスプレイ,I2C接続の小さなOLED（有機EL 128x64px）SSD1306ディスプレイへ文字を表示します。
ssd1308,有機ELディスプレイ,I2C接続の小さなOLED（有機EL 128x64px）SSD1308(Grove-OledDisplay)ディスプレイへ文字を表示します。
tcs34725,色センサ,I2C接続の色センサーTCS34725の値を表示します
tsl2561,光センサ,I2C接続の光センサーTSL2561で取得した明るさを表示します。Grove-Lightもしくはジェネリック品
veml6070,紫外線センサ,I2C接続のUVセンサー（紫外線の強さを測定することができるセンサー）VEML6070で取得した値を表示します。
vl53l0x,距離センサ,I2C接続のレーザー距離センサーVL53L0Xで取得した値を表示します。GP2Y0E03よりも長距離(最長2m)の測定ができます。
vl53l1x,距離センサ,I2C接続のレーザー距離センサーで取得した値を表示します。VL53L1Xは、VL53L0Xよりもさらに長距離(最長4m)の測定ができます。
vl6180x,距離センサ,I2C接続のレーザー距離センサーで取得した値を表示します。VL6180Xは短距離の精密な測定(最大255mm)ができます。
hbridge2-pca9685pwm,モータ正転・逆転・速度制御,H-BridgeモータドライバとPWMドライバPCA9685でDCモータの正逆転速度制御をします。こちらの回路ではPWM信号を2つ使います。PWM端子やENABLE端子などを持たないコントローラにも応用できます。
sht30_led,温度・湿度センサ＋LED,I2CデバイスとGPIOを組み合わせた例です。I2C接続の温度・湿度センサSHT30の温度の値に応じてLEDの点灯を制御します。LEDの代わりにモータをつないだ回路も紹介します。
icm20948,9軸(３軸ジャイロ＋３軸加速度＋３軸磁気)センサ,i2c接続の9軸センサーICM20948の値を表示します。
ltr390,uvセンサ,i2c接続のuvセンサーLTR390の値を表示します。
sgp40,ガスセンサ,i2c接続のガスセンサーSGP40の値を表示します。
tsl2591,照度センサ,i2c接続の照センサーTSL2591の値を表示します。
waveshare20471,複合センサボード(9軸+uv+ガス+照度+温度+湿度+気圧,i2c接続の複合センサボードWAVESHARE20471の値を表示します。
ws1850s,RFIDリーダ,i2c接続のRFIDリーダ(m5 RFID 2 unit (WS1850S))でRFIDのUID値を表示します。


REMOTE
remote_gpio_led,リモートLチカ,GPIO PORT26に繋いだLEDをブラウザからOn/Off
remote_sht30,リモート温湿度センサ,I2CのSHT30で測った温度と湿度をブラウザで表示
remote_pca9685,リモートサーボ,I2CのPCA9685 Port0のサーボをブラウザでコントロール
remote_hbridge_pca9685,リモートモーター正転・逆転・速度制御,IH-BridgeモータドライバとPWMドライバPCA9685でDCモータの正逆転速度をブラウザでコントロール
remote_gpio_sw,リモートオンオフセンサ,GPIO PORT5に繋いだスイッチ(On/Offセンサ)をブラウザでモニタ
remote_vl53l0x,リモート距離センサ,I2CのVL53L0Xで測った距離をブラウザで表示（インターバル表示）
remote_sht30_gpioin,リモート温湿度センサ+GPIO,GPIOのスイッチをトリガにしてI2CのSHT30で測った温度と湿度をブラウザで表示
remote_camera,リモートカメラ,PiZero専用カメラでリモート撮影
remote_gpio-inout,リモートスイッチ+(LED or モータ),GPIO PORT5に繋いだスイッチの状態をブラウザに表示しつつ、ブラウザからPORT26に繋いだLED/モータをOn/Off
remote_hbridge1,リモートモータ正転・逆転制御,GPIO接続のH-BridgeモータドライバでDCモータの正転・逆転・ブレーキ・停止をブラウザからコントロール
remote_tb6612fng,リモートモータ正転・逆転制御(TB6612FNG),GPIO接続のモータードライバIC TB6612FNGでDCモータの正転・逆転・ブレーキ・停止をブラウザからコントロール
remote_a4988,リモートステッピングモータ制御,GPIO接続のA4988ステッピングモータドライバの回転方向とステップ数をブラウザから指定して制御。<span style="color:red">ステッピングモータは停止中も常に電流が流れているため容易に加熱します。火傷に注意！</span>
remote_isd1820,リモートボイスレコーダー,ボイスレコーダー(ISD1820)基板の録音開始/停止・再生をブラウザのボタンでコントロール
remote_dfplayer,リモートMP3プレーヤー基板,MP3プレーヤー基板(DFPlayer Mini)の再生/一時停止をブラウザのボタンでコントロール
remote_serial_gps,リモートGPSレシーバ,シリアル接続のGPSレシーバで取得した緯度経度等の位置情報を数秒間隔でブラウザに表示
remote_ads1015,リモート電圧センサ(ADS1015),I2CのADS1015で測ったアナログ電圧をブラウザで表示
remote_ads1x15,リモート電圧センサ(ADS1115),I2Cの16bitADC ADS1115で測った可変抵抗器の電圧をブラウザで表示
remote_ads1115-loadcell,リモート重量センサ,I2CのADS1115とロードセルで測った重さ相当値をブラウザで表示
remote_adt7410,リモート温度センサ(ADT7410),I2CのADT7410で測った温度をブラウザで表示
remote_aht10,リモート温湿度センサ(AHT10),I2CのAHT10で測った温度と湿度をブラウザで表示
remote_aht20,リモート温湿度センサ(AHT20),I2CのAHT20で測った温度と湿度をブラウザで表示
remote_bh1750,リモート照度センサ,I2CのBH1750で測った照度をブラウザで表示
remote_bme280,リモート温湿度気圧センサ,I2CのBME280で測った温度・湿度・気圧をブラウザで表示
remote_bmp180,リモート気圧温度センサ,I2CのBMP180で測った気圧と温度をブラウザで表示
remote_bmp280,リモート温度気圧センサ,I2CのBMP280で測った温度と気圧をブラウザで表示
remote_adxl345,リモート3軸加速度センサ,I2CのADXL345で測った3軸(X/Y/Z)の加速度をブラウザで表示
remote_amg8833,リモートサーモグラフィ,I2CのAMG8833で測った8x8ピクセルの温度分布をブラウザのグリッドで表示
remote_as3935,リモート雷センサ,I2CとGPIOを使ったAS3935で雷を検出し、距離とエネルギー値をブラウザで表示
remote_as5600,リモート回転角センサ,I2CのAS5600で非接触に検出した回転角をブラウザで表示
remote_as7341,リモート分光カラーセンサー,I2CのAS7341で測った可視光8チャンネル+Clear+NIRの光の強さをブラウザで表示
remote_mma7660,リモート3軸加速度センサ,I2CのMMA7660で測った3軸加速度をブラウザで表示
remote_mpu6050,リモート３軸ジャイロ＋３軸加速度センサ,I2CのMPU6050で測った３軸ジャイロ(角速度)＋３軸加速度の値をブラウザで表示
remote_mpu9250,リモート３軸ジャイロ＋３軸加速度＋３軸磁気センサ,I2CのMPU9250で測った３軸ジャイロ＋３軸加速度＋３軸磁気の値をブラウザで表示
remote_icm20948,リモート9軸センサ,I2CのICM20948で測った9軸(３軸ジャイロ＋３軸加速度＋３軸磁気)の値をブラウザで表示
remote_paj7620,リモートジェスチャーセンサ,I2CのPAJ7620でセンサー前の手の動きの方向を検出し、検出するたびにブラウザで表示
remote_ens160,リモート空気質センサ,I2CのENS160で測った空気質(AQI・TVOC・eCO2)をブラウザで表示
remote_gp2y0e03,リモート距離センサ,I2Cの赤外線測距センサーGP2Y0E03で測った距離をブラウザで表示
remote_grove-water-level-sensor,リモート水位センサ,I2Cの水位センサーGrove Water Level Sensorで測った水位をブラウザで表示
remote_htu21d,リモート温湿度センサ,I2CのHTU21Dで測った温度と湿度をブラウザで表示
remote_ina219,リモート電流センサ,I2CのINA219で測った電圧・電流・電力をブラウザで表示
remote_max30102,リモート心拍センサ,I2CのMAX30102で測った心拍数をブラウザで表示
remote_mcp9808,リモート高精度温度センサ,I2CのMCP9808で測った高精度な温度をブラウザで表示
remote_mlx90614,リモート赤外線温度センサ,I2CのMLX90614で測った対象温度と周囲温度をブラウザで表示
remote_mpr121,リモートタッチセンサ,I2CのタッチセンサーMPR121（Grove-Touch）の各チャンネルのタッチ状態をブラウザで表示
remote_scd40,リモートCO2センサ,I2CのSCD40で測ったCO2濃度・温度・湿度をブラウザで表示
remote_s11059,リモートRGBカラーセンサー(S11059),I2CのS11059で測ったRGB値をブラウザで表示し、検出した色を矩形で可視化
remote_sht40,リモート温湿度センサ(SHT40),I2CのSHT40で測った温度と湿度をブラウザで表示
remote_tcs34725,リモートカラーセンサー(TCS34725),I2CのTCS34725で測ったRGBとクリア光の値をブラウザで表示し、検出した色を矩形で可視化
remote_tsl2561,リモート光センサ(TSL2561),I2CのTSL2561(Grove Digital Light Sensor)で測った明るさをブラウザで表示
remote_veml6070,リモートUVセンサー(VEML6070),I2CのVEML6070で測った紫外線量(UV値)をブラウザで表示
remote_vl53l1x,リモート距離センサ(VL53L1X),I2CのVL53L1Xで測った距離をブラウザで表示。VL53L0Xよりも長距離(最長4m)の測定が可能
remote_vl6180x,リモート距離センサ(VL6180X),I2CのVL6180Xで測った近距離(最大255mm)の距離をブラウザで表示
remote_ltr390,リモートUVセンサー(LTR390),I2CのLTR390で測った紫外線量(UVS値)をブラウザで表示
remote_sgp40,リモートガスセンサー(SGP40),I2CのSGP40で測ったガス(VOC)の生値をブラウザで表示
remote_tsl2591,リモート照度センサ(TSL2591),I2CのTSL2591で測った照度(Lux)をブラウザで表示
remote_waveshare20471,リモート複合センサボード(WAVESHARE20471),I2Cの複合センサボードWAVESHARE20471(9軸+UV+ガス+照度+温湿度+気圧)で測った各種値をブラウザで一覧表示
remote_ws1850s,リモートRFIDリーダー(WS1850S),I2CのRFIDリーダーWS1850S(RC522)でカードをかざしたときのUID値をブラウザで表示
remote_ht16k33,リモートマトリクスLED,I2CのHT16K33マトリクスLEDドライバへブラウザから送ったパターンを表示
remote_i2c1602lcd,リモート液晶ディスプレイ,I2Cの16文字×2行LCDへブラウザから送った文字列を表示
remote_neopixel-i2c,リモートNeopixel LED,I2CのNeopixel LEDの色をブラウザのカラーピッカーでコントロール
remote_ssd1306,リモート有機ELディスプレイ(SSD1306),I2CのOLED(有機EL 128x64px)SSD1306へブラウザから送った文字列を表示
remote_ssd1308,リモート有機ELディスプレイ(SSD1308),I2CのOLED(有機EL 128x64px)SSD1308(Grove-OledDisplay)へブラウザから送った文字列を表示
remote_pcf8591,リモート電圧測定・電圧出力,I2Cの8ビットAD、DAコンバータPCF8591のADC値をブラウザで表示しつつスライダーでDA出力電圧をコントロール
remote_qrcodescanner,リモートQRコードリーダ,I2CのQRコードスキャナーで読み取った内容をブラウザで表示（インターバル表示）
remote_apds9930,リモート近接・環境光センサー(APDS9930),I2CのAPDS9930で測った照度と近接値をブラウザで表示
remote_apds9960,リモート近接・環境光・ジェスチャーセンサー(APDS9960),I2CのAPDS9960で測った照度・近接値とジェスチャーの検出結果をブラウザで表示
remote_seesaw,リモート多機能I/F(seesaw),I2Cの多機能インターフェースボードseesawで測ったアナログ入力値と、それに応じてON/OFFしたLEDの状態をブラウザで表示
remote_bme680,リモート温湿度気圧ガスセンサー(BME680),I2CのBME680で測った温度・湿度・気圧・ガス抵抗値をブラウザで表示
remote_ccs811,リモートCO2・TVOCセンサー(CCS811),I2CのCCS811で測ったCO2濃度とTVOCをブラウザで表示
