# ESModuleのExamplesのリスト
# github pagesのJekyllの機能で_dataにあるcsvを使ってテーブル化することも考えましたが、テーブル化だけでなく、cvsv自体をデータとしてwebから使いたいケースに対応できなさそうなのでwebAppsで組み立てることにした・・・

GPIO
hello-real-world,Lチカ,GPIO PORT26に繋いだLEDを点滅させる
neopixel-i2c,NEOPIXEL LED,<a href="https://learn.adafruit.com/adafruit-neopixel-uberguide/the-magic-of-neopixels">Neopixel LED</a> (シンプルな配線の多数のLEDの発光を個々に制御できるフルカラーLED)をATTINY85をI2Cコントローラにして使用します。ATTINY85には<a href="https://github.com/chirimen-oh/accessories/blob/master/others/neopixel_i2c_TH/tips.md">ここで紹介されているファームウェア</a>を焼いておく必要があります。簡単に組み立てられるようにしたオープンソースハードの<a href="https://github.com/chirimen-oh/accessories/blob/master/others/neopixel_i2c_TH/">専用コントローラボード</a>もあります。
paj7620,ジェスチャーセンサ,I2C接続のジェスチャーセンサーPAJ7620（センサーの前で手などを動かすと動かした方向などのモーションを検出するセンサー）の検出結果を表示します。Grove-Gestureもしくはジェネリック品
pca9685,サーボモータ,I2C接続のPWMドライバーPCA9685経由でサーボモーターを駆動します。（RaspberryからPWMドライバーをI2C接続し、 PWMドライバとサーボモータ、外部電源を接続します。詳細は回路図を参照ください）
pcf8591,電圧測定・電圧出力,I2C接続の8ビットAD、DAコンバータPCF8591を使います。
s11059,カラーセンサ,I2C接続のRGBカラーセンサーで取得した値を表示します。
#seesaw,多機能I/F,I2C接続の多機能インターフェースボードseesawを使用します。adafruitのseesawはデジタル入出力、アナログ入力、PWM出力、NeopixelLEDドライブ等の機能を持つ多目的なインターフェースボードです。このサンプルではNeopixelLED以外の機能を動かしています。
#seesawNpix,NeopixelLED,I2C接続の多機能インターフェースボードseesawでI2C接続の多機能インターフェースボードseesawでNeopixelLEDモジュールを２個ドライブしています。
sht30,温度・湿度センサ,I2C接続の温度・湿度センサーSHT30の値を表示します。
ssd1306,有機ELディスプレイ,I2C接続の小さなOLED（有機EL 128x64px）SSD1306ディスプレイへ文字を表示します。
ssd1308,有機ELディスプレイ,I2C接続の小さなOLED（有機EL 128x64px）SSD1308(Grove-OledDisplay)ディスプレイへ文字を表示します。
tcs34725,色センサ,I2C接続の色センサーTCS34725の値を表示します
tsl2561,光センサ,I2C接続の光センサーTSL2561で取得した明るさを表示します。Grove-Lightもしくはジェネリック品
veml6070,紫外線センサ,I2C接続のUVセンサー（紫外線の強さを測定することができるセンサー）VEML6070で取得した値を表示します。
vl53l0x,距離センサ,I2C接続のレーザー距離センサーVL53L0Xで取得した値を表示します。GP2Y0E03よりも長距離(最長2m)の測定ができます。
vl53l1x,距離センサ,I2C接続のレーザー距離センサーで取得した値を表示します。VL53L1Xは、VL53L0Xよりもさらに長距離(最長4m)の測定ができます。
hbridge2-pca9685pwm,モータ正転・逆転・速度制御,H-BridgeモータドライバとPWMドライバPCA9685でDCモータの正逆転速度制御をします。こちらの回路ではPWM信号を2つ使います。PWM端子やENABLE端子などを持たないコントローラにも応用できます。

REMOTE
remote_gpio_led,リモートLチカ,GPIO PORT26に繋いだLEDをブラウザからOn/Off
remote_sht30,リモート温湿度センサ,I2CのSHT30で測った温度と湿度をブラウザで表示
remote_pca9685,リモートサーボ,I2CのPCA9685 Port0のサーボをブラウザでコントロール
remote_gpio_sw,リモートオンオフセンサ,GPIO PORT5に繋いだスイッチ(On/Offセンサ)をブラウザでモニタ
remote_vl53l0x,リモート距離センサ,I2CのVL53L0Xで測った距離をブラウザで表示（インターバル表示）
remote_sht30_gpioin,リモート温湿度センサ+GPIO,GPIOのスイッチをトリガにしてI2CのSHT30で測った温度と湿度をブラウザで表示
